"","first_name","last_name","nickname","height_inches","weight_lb","armspan_inches","stance","wins","losses","draws","total_fights","stance2"
"1313","Ian","Heinisch","The Hurricane",71,185,72,"Orthodox",14,4,0,18,"Orthodox"
"1314","Marcin","Held","",69,155,71,"Orthodox",23,7,0,30,"Orthodox"
"1315","Delson","Heleno","Pe De Chumbo",71,185,NA,"Orthodox",29,10,0,39,"Orthodox"
"1316","Matt","Helm","",NA,155,NA,NA,1,1,0,2,NA
"1317","Elisha","Helsper","Knuckles",66,135,NA,"Orthodox",0,4,0,4,"Orthodox"
"1318","Dan","Henderson","Hendo",71,185,74,"Orthodox",32,15,0,47,"Orthodox"
"1319","Benson","Henderson","Smooth",69,170,70,"Southpaw",24,7,0,31,"Southpaw"
"1320","Ron","Henderson","",70,125,NA,NA,4,3,0,7,NA
"1321","Josh","Hendricks","",74,235,NA,"Southpaw",19,11,0,30,"Southpaw"
"1322","Johny","Hendricks","Bigg Rigg",69,185,69,"Southpaw",18,8,0,26,"Southpaw"
"1323","Cory","Hendricks","",75,205,NA,NA,3,1,0,4,NA
"1324","Luis","Henrique","KLB",74,243,74,"Orthodox",10,5,0,15,"Orthodox"
"1325","Diego","Henrique da Silva","Gaucho",74,185,NA,"Orthodox",8,4,0,12,"Orthodox"
"1326","Danny","Henry","The Hatchet",72,145,73,"Orthodox",12,4,0,16,"Orthodox"
"1327","TJ","Hepburn","The Carnivore",67,155,NA,NA,4,2,0,6,NA
"1328","Jai","Herbert","Black Country Banger",73,155,77,"Orthodox",10,2,0,12,"Orthodox"
"1329","Ed","Herman","Short Fuse",73,205,77,"Orthodox",27,14,0,41,"Orthodox"
"1330","Dave","Herman","",76,242,77,"Orthodox",22,6,0,28,"Orthodox"
"1331","Jack","Hermansson","The Joker",73,185,77,"Orthodox",21,6,0,27,"Orthodox"
"1332","Noe","Hernandez","",NA,NA,NA,"Orthodox",5,5,0,10,"Orthodox"
"1333","Joe","Hernandez","",NA,NA,NA,NA,0,1,0,1,NA
"1334","Ramiro","Hernandez","Junior",69,135,NA,"Orthodox",19,9,0,28,"Orthodox"
"1335","Alexander","Hernandez","The Great",69,155,72,"Orthodox",12,4,0,16,"Orthodox"
"1336","Anthony","Hernandez","Fluffy",72,185,75,"Orthodox",8,2,0,10,"Orthodox"
"1337","Nohelin","Hernandez","Suave",70,135,71,"Orthodox",9,4,0,13,"Orthodox"
"1338","Paul","Herrera","The Bone Crusher",70,185,NA,"Orthodox",1,1,0,2,"Orthodox"
"1339","Chris","Herrera","The Crusher",70,185,NA,NA,3,2,1,6,NA
"1340","Geane","Herrera","La Pulga",65,125,66,"Orthodox",9,3,0,12,"Orthodox"
"1341","Alvaro","Herrera Mendoza","Chango",72,155,74,"Orthodox",9,6,0,15,"Orthodox"
